arm,target,offline_metric_type,offline_learned,offline_best_baseline,offline_beats_baselines,n_test,base_rate,expected_positives,rare_target,aligned_cl_metric,aligned_cl_delta,divergence_flag,cl_reward_per_impression,cl_reward_per_impression_delta,cl_mean_satisfaction,cl_mean_satisfaction_delta,cl_retention_7d,cl_retention_7d_delta,cl_sessions_per_user_per_day,cl_sessions_per_user_per_day_delta,cl_mean_session_utility,cl_mean_session_utility_delta
learned,completed,AUC,0.7149354858,0.6646981204,all,30116,0.8283534157,24946.6914672212,0,reward_per_impression,0.005532493261109328,ALIGNED,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned,followed,AUC,0.4877327739,0.5090214335,none,30116,0.01449871113,436.64318439108,0,reward_per_impression,0.005532493261109328,loop-gain,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned,liked,AUC,0.5364245553,0.6020959777,some,30116,0.2066216205,6222.616722977999,0,reward_per_impression,0.005532493261109328,partial-aligned,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned,not_interested,AUC,0.726935729,0.6656320032,all,30116,0.1028355129,3096.9943064964,0,mean_satisfaction,0.09566486797892765,ALIGNED,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned,satisfaction,RMSE,1.159297118,1.176328075,all,600,2.630055343,,0,mean_satisfaction,0.09566486797892765,ALIGNED,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned,session_exit,AUC,0.6514282685,0.6196739815,all,30116,0.2326387997,7006.1500917652,0,mean_session_utility,0.7331023123336498,ALIGNED,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned,shared,AUC,0.5642710476,0.5710292604,some,30116,0.07599619762,2288.7014875239197,0,reward_per_impression,0.005532493261109328,partial-aligned,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned,watch_ratio,RMSE,0.909480122,0.8845443203,none,30116,1.493217405,,0,reward_per_impression,0.005532493261109328,loop-gain,0.4040967832112683,0.005532493261109328,-0.20187400652755438,0.09566486797892765,0.9943,-9.999999999998899e-05,1.5024777777777778,0.26331111111111105,-2.09986176589315,0.7331023123336498
learned_survey_off,completed,AUC,0.688989111,0.6367899831,all,27747,0.834739257,23161.510163978997,0,reward_per_impression,0.0028858316959774477,ALIGNED,0.4014501216461364,0.0028858316959774477,-0.21733915602799964,0.0801997184784824,0.9944,0.0,1.4576555555555555,0.21848888888888873,-2.235726097506881,0.5972379807199188
learned_survey_off,followed,AUC,0.5258860023,0.5100530872,all,27747,0.01504456013,417.44140992711004,0,reward_per_impression,0.0028858316959774477,ALIGNED,0.4014501216461364,0.0028858316959774477,-0.21733915602799964,0.0801997184784824,0.9944,0.0,1.4576555555555555,0.21848888888888873,-2.235726097506881,0.5972379807199188
learned_survey_off,liked,AUC,0.604461189,0.6037269673,all,27747,0.200167652,5554.051840044,0,reward_per_impression,0.0028858316959774477,ALIGNED,0.4014501216461364,0.0028858316959774477,-0.21733915602799964,0.0801997184784824,0.9944,0.0,1.4576555555555555,0.21848888888888873,-2.235726097506881,0.5972379807199188
learned_survey_off,not_interested,AUC,0.756496824,0.6840437933,all,27747,0.1047913174,2907.6446838978,0,mean_satisfaction,0.0801997184784824,ALIGNED,0.4014501216461364,0.0028858316959774477,-0.21733915602799964,0.0801997184784824,0.9944,0.0,1.4576555555555555,0.21848888888888873,-2.235726097506881,0.5972379807199188
learned_survey_off,session_exit,AUC,0.6867106937,0.6405680197,all,27747,0.2322597723,6444.5119020081,0,mean_session_utility,0.5972379807199188,ALIGNED,0.4014501216461364,0.0028858316959774477,-0.21733915602799964,0.0801997184784824,0.9944,0.0,1.4576555555555555,0.21848888888888873,-2.235726097506881,0.5972379807199188
learned_survey_off,shared,AUC,0.5802268293,0.5798685649,all,27747,0.0766346069,2126.3804376543,0,reward_per_impression,0.0028858316959774477,ALIGNED,0.4014501216461364,0.0028858316959774477,-0.21733915602799964,0.0801997184784824,0.9944,0.0,1.4576555555555555,0.21848888888888873,-2.235726097506881,0.5972379807199188
learned_survey_off,watch_ratio,RMSE,0.8811561281,0.8826324392,all,27747,1.490711036,,0,reward_per_impression,0.0028858316959774477,ALIGNED,0.4014501216461364,0.0028858316959774477,-0.21733915602799964,0.0801997184784824,0.9944,0.0,1.4576555555555555,0.21848888888888873,-2.235726097506881,0.5972379807199188
w_sat_100,completed,AUC,0.7087714066,0.6650750814,all,34631,0.8311658895,28784.1059192745,0,reward_per_impression,0.022400455642375694,ALIGNED,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_100,followed,AUC,0.5228540282,0.5093803018,all,34631,0.01491826198,516.63433062938,0,reward_per_impression,0.022400455642375694,ALIGNED,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_100,liked,AUC,0.6320617916,0.6116855108,all,34631,0.2104256,7287.248953599999,0,reward_per_impression,0.022400455642375694,ALIGNED,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_100,not_interested,AUC,0.7374852486,0.6724059456,all,34631,0.09168092103,3175.0019761899302,0,mean_satisfaction,0.1480428040585457,ALIGNED,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_100,satisfaction,RMSE,1.166840887,1.169626675,all,718,2.722377343,,0,mean_satisfaction,0.1480428040585457,ALIGNED,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_100,session_exit,AUC,0.6600378437,0.6221307407,all,34631,0.2285227796,7913.9723803276,0,mean_session_utility,1.0198066836066182,ALIGNED,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_100,shared,AUC,0.5657278384,0.5778770867,some,34631,0.07867625809,2724.6374939147904,0,reward_per_impression,0.022400455642375694,partial-aligned,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_100,watch_ratio,RMSE,0.9475594193,0.9004838297,none,34631,1.516230846,,0,reward_per_impression,0.022400455642375694,loop-gain,0.42096474559253466,0.022400455642375694,-0.14949607044793634,0.1480428040585457,0.9944,0.0,1.6152,0.3760333333333332,-1.8131573946201816,1.0198066836066182
w_sat_70,completed,AUC,0.7068388119,0.6551047913,all,29530,0.8395047202,24790.574387506,0,reward_per_impression,0.016614781945134605,ALIGNED,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_sat_70,followed,AUC,0.4753071985,0.5291607061,none,29530,0.01538698261,454.3775964733,0,reward_per_impression,0.016614781945134605,loop-gain,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_sat_70,liked,AUC,0.6030069675,0.6004926541,all,29530,0.2108740711,6227.111319583,0,reward_per_impression,0.016614781945134605,ALIGNED,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_sat_70,not_interested,AUC,0.7562097216,0.672085869,all,29530,0.1022148204,3018.403646412,0,mean_satisfaction,0.10467580220810907,ALIGNED,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_sat_70,satisfaction,RMSE,1.113470178,1.159427372,all,604,2.675541516,,0,mean_satisfaction,0.10467580220810907,ALIGNED,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_sat_70,session_exit,AUC,0.6638826504,0.6255865442,all,29530,0.2361630296,6973.8942640879995,0,mean_session_utility,0.6824099000199513,ALIGNED,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_sat_70,shared,AUC,0.5619766266,0.5747249097,some,29530,0.07793054135,2301.2888860655,0,reward_per_impression,0.016614781945134605,partial-aligned,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_sat_70,watch_ratio,RMSE,0.9056530537,0.8980837303,some,29530,1.517055343,,0,reward_per_impression,0.016614781945134605,partial-aligned,0.41517907189529357,0.016614781945134605,-0.19286307229837296,0.10467580220810907,0.9944,0.0,1.4422666666666666,0.20309999999999984,-2.1505541782068485,0.6824099000199513
w_watch_70,completed,AUC,0.6841497664,0.6480319089,all,27951,0.8009983423,22388.7046656273,0,reward_per_impression,-0.007048046518705997,DIVERGENCE,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_70,followed,AUC,0.5020952663,0.5114120135,some,27951,0.01394715639,389.83696825689,0,reward_per_impression,-0.007048046518705997,partial-divergence,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_70,liked,AUC,0.596713935,0.5875640025,all,27951,0.1927597033,5387.8264669383,0,reward_per_impression,-0.007048046518705997,DIVERGENCE,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_70,not_interested,AUC,0.7312422788,0.6400625811,all,27951,0.109095287,3049.322366937,0,mean_satisfaction,0.07025082108534872,ALIGNED,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_70,satisfaction,RMSE,1.207518908,1.206293663,some,550,2.551228558,,0,mean_satisfaction,0.07025082108534872,partial-aligned,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_70,session_exit,AUC,0.6523754526,0.6086560041,all,27951,0.23807407,6654.40833057,0,mean_session_utility,0.5649291944217301,ALIGNED,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_70,shared,AUC,0.563635271,0.5760887505,some,27951,0.07337537855,2050.91520585105,0,reward_per_impression,-0.007048046518705997,partial-divergence,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_70,watch_ratio,RMSE,0.9069654413,0.8991923276,some,27951,1.453132734,,0,reward_per_impression,-0.007048046518705997,partial-divergence,0.39151624343145297,-0.007048046518705997,-0.2272880534211333,0.07025082108534872,0.9944,0.0,1.4214,0.18223333333333325,-2.2680348838050697,0.5649291944217301
w_watch_100,completed,AUC,0.7192404009,0.6682364511,all,28461,0.8422524922,23971.3481805042,0,reward_per_impression,0.002966655857338407,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,followed,AUC,0.4919488792,0.5066179929,none,28461,0.0151359923,430.7854768503,0,reward_per_impression,0.002966655857338407,loop-gain,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,liked,AUC,0.6230741878,0.6078726168,all,28461,0.2030753058,5779.7262783738,0,reward_per_impression,0.002966655857338407,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,not_interested,AUC,0.7080158188,0.6521068087,all,28461,0.1054174202,3000.2851963122,0,mean_satisfaction,0.07707652355095626,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,satisfaction,RMSE,1.165653847,1.165375654,some,599,2.611790393,,0,mean_satisfaction,0.07707652355095626,partial-aligned,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,session_exit,AUC,0.6781407528,0.6241241475,all,28461,0.2344965211,6674.0054870271,0,mean_session_utility,0.6039174242597882,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,shared,AUC,0.5737151448,0.5723446372,all,28461,0.07670446953,2183.08590729333,0,reward_per_impression,0.002966655857338407,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,watch_ratio,RMSE,0.854927237,0.8626512883,all,28461,1.511371567,,0,reward_per_impression,0.002966655857338407,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100_noexit,completed,AUC,0.6453141124,0.6218401793,all,22631,0.8057576367,18235.1010761577,0,reward_per_impression,-0.024725685990344026,DIVERGENCE,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,followed,AUC,0.4964079686,0.5,some,22631,0.01462017685,330.86922229235,0,reward_per_impression,-0.024725685990344026,partial-divergence,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,liked,AUC,0.5762469575,0.5860430919,some,22631,0.1902431672,4305.3931169032,0,reward_per_impression,-0.024725685990344026,partial-divergence,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,not_interested,AUC,0.7253077853,0.6437651201,all,22631,0.1191720257,2696.9821136167,0,mean_satisfaction,0.013533303980894862,ALIGNED,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,satisfaction,RMSE,1.168789061,1.227944174,all,447,2.51974013,,0,mean_satisfaction,0.013533303980894862,ALIGNED,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,session_exit,AUC,0.6529220665,0.6213589572,all,22631,0.2385751608,5399.1944640648,0,mean_session_utility,0.21281849890191396,ALIGNED,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,shared,AUC,0.5535756612,0.5683748938,some,22631,0.07194533762,1628.19493567822,0,reward_per_impression,-0.024725685990344026,partial-divergence,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,watch_ratio,RMSE,0.9290134506,0.9118445636,none,22631,1.431399459,,0,reward_per_impression,-0.024725685990344026,consistent-null,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
